"income","dependent_var","independent_var","r_squared","adj_r_squared","p_value","estimate","std_error","t_value","n_obs"
"High income","CURRENT.HEALTH.EXPENDITURE....OF.GDP.","publication_count",0.0609712553888453,0.0182881306337929,0.244740812261397,0.00135221012645667,0.00113138318103276,1.19518316086539,24
"High income","Antiretroviral.therapy.coverage....of.people.living.with.HIV.","publication_count",0.0416151630415694,-0.00194778409290475,0.339002935502603,0.00270771304104973,0.00277035524739448,0.977388384972051,24
"High income","Antiretroviral.therapy.coverage.for.PMTCT....of.pregnant.women.living.with.HIV.","publication_count",0.296045307978406,0.26404736743197,0.00598588862729595,-1.01009658978235e-06,3.32081611028819e-07,-3.04171190525418,24
"High income","Children..0.14..living.with.HIV","publication_count",0.345760520285581,0.316022362116744,0.00251177440493689,-0.0168438989922745,0.0049398295120186,-3.40981383088087,24
"High income","Children..ages.0.14..newly.infected.with.HIV","publication_count",0.5063334760355,0.483894088582569,9.66286453433689e-05,-0.00410230819737102,0.000863605625781668,-4.75021013631996,24
"High income","Children.with.fever.receiving.antimalarial.drugs....of.children.under.age.5.with.fever.","publication_count",0.0631496383753559,0.0205655310287811,0.236215633571695,-6.78159760987785e-07,5.56891202405664e-07,-1.21775987492398,24
"High income","Incidence.of.HIV..all..per.1.000.uninfected.population.","publication_count",0.554678247137023,0.534436349279615,2.98973608764832e-05,-9.52483680231429e-06,1.81954411913054e-06,-5.23473803254943,24
"High income","Incidence.of.malaria..per.1.000.population.at.risk.","publication_count",0.266193436041552,0.232838592225259,0.00985876515779427,-4.31084482708706e-05,1.5259600889397e-05,-2.82500496463338,24
"High income","Incidence.of.tuberculosis..per.100.000.people.","publication_count",0.862579383555586,0.856332991899022,5.93780492880447e-11,-0.00376218069799707,0.000320150894635489,-11.751273418369,24
"High income","Prevalence.of.moderate.or.severe.food.insecurity.in.the.population....","publication_count",0.0776561476112039,0.0357314270480769,0.187298455129271,-0.000200945846139133,0.000147647534858666,-1.36098341453169,24
"High income","Prevalence.of.severe.food.insecurity.in.the.population....","publication_count",0.0854216905100419,0.0438499491695893,0.165786976843749,-0.000157379677606887,0.000109790225875206,-1.43345800003885,24
"High income","Prevalence.of.anemia.among.pregnant.women....","publication_count",0.157824094561201,0.11954337158671,0.0545691828842785,0.00036081994316004,0.000177702667145779,2.03047004839854,24
