"dependent_var","independent_var","moderator","meta_estimate","meta_ci_lower","meta_ci_upper","meta_p","i_squared_original","moderator_estimate","moderator_se","moderator_z","moderator_p","moderator_ci_lower","moderator_ci_upper","i_squared_with_moderator","tau_squared","residual_tau_squared","tau_squared_reduction","i_squared_reduction","QE","QE_p","QM","QM_p","k","meta_significance","moderator_significance","fdr_p","fdr_significance"
"publication_count","Average.years.of.schooling","Lifespan.Inequality.in.wome",427.241023214641,88.6015793716655,765.880467057616,0.0134070883349482,99.7792938540372,-5279.02488735303,199.037908804756,-26.5227107692909,5.303605487191e-155,-5669.13202016852,-4888.91775453754,3.10776265835047e-07,117833.079897372,1.41884677783509e-06,99.9999999987959,99.9999996885363,3.11954310840101,0.210184081387207,703.454186551457,5.3036054871912e-155,4,"p<0.05","p<0.001",1.64411770102921e-153,"p<0.001"
"Deaths.from.cysticercosis","publication_count","Population.in.year",0.049218077178491,-0.123156207623468,0.22159236198045,0.575732480264421,99.9858352007652,-9.14351272154323e-11,4.10803583843845e-12,-22.2576264695366,9.51536308232877e-110,-9.94867295059715e-11,-8.33835249248932e-11,0,0.0278631194587941,0,100,100,12.3793199182929,0.00205052389663696,495.401936057414,9.51536308232912e-110,4,"ns","p<0.001",3.0449161863452e-108,"p<0.001"
"Share.of.deaths.attributed.to.unsafe.sanitation","publication_count","Multidimensional.Poverty.Index",-6.18562783874037e-05,-0.000147753645870133,2.40410890953258e-05,0.158124873036972,99.9987245946222,-0.000460659721858878,2.16912528639817e-05,-21.2371191626189,4.33684517851367e-100,-0.000503173796251834,-0.000418145647465923,93.3455054632631,7.43740590454102e-09,1.30104773179975e-12,99.9825066999368,6.65330398795595,29.6983390761207,3.55703066122895e-07,451.015230327275,4.3368451785136e-100,4,"ns","p<0.001",1.38779045712437e-98,"p<0.001"
"publication_count","Private.civil.liberties.index","State.capacity.index",-7128.55455526563,-14524.6564336201,267.547323088876,0.0588832464456464,99.6915201043854,-6691.46759770665,353.279549397377,-18.9409990165605,5.23934858919435e-80,-7383.88279100005,-5999.05240441325,5.96811352090298e-11,53052239.5128491,7.04151837770905e-07,99.9999999999987,99.9999999999401,2.01721354078983,0.364726773891496,358.761443745345,5.2393485891942e-80,4,"p<0.10","p<0.001",1.62419806265025e-78,"p<0.001"
"publication_count","Human.rights.index","RESEARCH.AND.DEVELOPMENT.EXPENDITURE....OF.GDP.",-6861.15979389806,-14682.9368950986,960.617307302459,0.0855680268035816,99.6865941113499,-8882.5603999599,496.649345130701,-17.8849735473271,1.54426455234505e-71,-9855.97522936148,-7909.14557055832,0,56745155.5757412,0,100,100,0.987506517874009,0.610331358321501,319.872278788589,1.54426455234504e-71,4,"p<0.10","p<0.001",4.63279365703515e-70,"p<0.001"
"publication_count","Human.rights.index","Average.years.of.schooling",-6861.15979389806,-14682.9368950986,960.617307302459,0.0855680268035816,99.6865941113499,-1572.28199497329,88.2498771051844,-17.8162513824161,5.28623659035412e-71,-1745.24857573954,-1399.31541420704,1.04851884369851e-09,56745155.5757412,5.32972773652898e-06,99.9999999999906,99.9999999989482,3.44097196361236,0.178979146163851,317.418813321442,5.28623659035428e-71,4,"p<0.10","p<0.001",7.92935488553117e-70,"p<0.001"
"publication_count","Lifespan.Inequality.in.man","Human.Development.Index",-21645.8029189826,-39509.5346568041,-3782.07118116113,0.0175525933837046,99.1011918058519,-92158.8449177196,5177.51585640235,-17.7998189621687,7.08976868320099e-71,-102306.589525653,-82011.100309786,5.03725770014451e-11,326976706.81851,2.03864452946103e-06,99.9999999999994,99.9999999999492,1.97592984934557,0.372333647548642,316.83355508598,7.08976868320106e-71,4,"p<0.05","p<0.001",2.19782829179231e-69,"p<0.001"
"publication_count","Human.rights.index","Human.Development.Index",-6861.15979389806,-14682.9368950986,960.617307302459,0.0855680268035816,99.6865941113499,-24887.331313908,1398.72984019629,-17.7928078737603,8.03507034878747e-71,-27628.7914247942,-22145.8712030218,1.29704986443473e-10,56745155.5757412,6.34998071148556e-07,99.9999999999989,99.9999999998699,4.27577327137512,0.11790375349482,316.584012032547,8.03507034878756e-71,4,"p<0.10","p<0.001",8.03507034878747e-70,"p<0.001"
"publication_count","Human.rights.index","LGBT..legal.equality.index",-6861.15979389806,-14682.9368950986,960.617307302459,0.0855680268035816,99.6865941113499,-127.757318042698,7.20399999988935,-17.7342196064215,2.28243261621277e-70,-141.876898587107,-113.637737498288,7.5348767472745e-11,56745155.5757412,3.89541758362359e-07,99.9999999999993,99.9999999999244,6.35724025611502,0.0416430776086134,314.502545048783,2.28243261621282e-70,4,"p<0.10","p<0.001",1.71182446215958e-69,"p<0.001"
"publication_count","Human.rights.index","Multidimensional.Poverty.Index",-6861.15979389806,-14682.9368950986,960.617307302459,0.0855680268035816,99.6865941113499,18922.4192971829,1068.82759295689,17.7039023149041,3.91234139556904e-70,16827.5557093047,21017.282885061,0,56745155.5757412,0,100,100,7.43162813079652,0.0243356222611686,313.428157175668,3.91234139556898e-70,4,"p<0.10","p<0.001",2.34740483734142e-69,"p<0.001"
